XS YS
-59167167516.83371 -39802002788.304924
-59131147729.729706 -39890741131.11793
-59095057931.02919 -39979432176.05602
-59058898221.63671 -40068075857.47955
-59022668702.5171 -40156672110.01247
-58986369474.69458 -40245220868.542206
-58950000639.25196 -40333722068.21952
-58913562297.32971 -40422175644.458336
-58877054550.12514 -40510581532.93558
-58840477498.89152 -40598939669.59103
-58803831244.93723 -40687249990.62714
-58767115889.62493 -40775512432.50888
-58730331534.37068 -40863726931.96358
-58693478280.64309 -40951893425.98071
-58656556229.962494 -41040011851.81178
-58619565483.90008 -41128082146.97007
-58582506144.077065 -41216104249.23052
-58545378312.16386 -41304078096.629524
-58508182089.87918 -41392003627.46472
-58470917578.98928 -41479880780.294846
-58433584881.30707 -41567709493.93949
-58396184098.69128 -41655489707.47894
-58358715333.04565 -41743221360.25398
-58321178686.318085 -41830904391.86567
-58283574260.49985 -41918538742.17515
-58245902157.62471 -42006124351.30343
-58208162479.76814 -42093661159.63121
-58170355329.04647 -42181149107.79863
-58132480807.616104 -42268588136.70508
-58094539017.672676 -42355978187.50895
-58056530061.450226 -42443319201.62746
-58018454041.22042 -42530611120.7364
-57980311059.29172 -42617853886.76992
-57942101218.00856 -42705047441.92031
-57903824619.75058 -42792191728.63776
-57865481366.931786 -42879286689.6301
-57827071561.999756 -42966332267.862625
-57788595307.434845 -43053328406.557816
-57750052705.74938 -43140275049.1951
-57711443859.486885 -43227172139.51063
-57672768871.22125 -43314019621.49703
-57634027843.555984 -43400817439.40314
-57595220879.12338 -43487565537.73375
-57556348080.58377 -43574263861.249405
-57517409550.6247 -43660912354.9661
-57478405391.96019 -43747510964.15503
-57439335707.32992 -43834059634.34235
-57400200599.49844 -43920558311.30888
-57361000171.25447 -44007006941.0899
-57321734525.41003 -44093405469.9748
-57282403764.79972 -44179753844.50689
-57243007992.27996 -44266052011.48309
-57203547310.72818 -44352299917.95366
-57164021823.0421 -44438497511.221924
-57124431632.13894 -44524644738.84399
-57084776840.954666 -44610741548.62848
-57045057552.44324 -44696787888.63625
-57005273869.57586 -44782783707.18009
-56965425895.340195 -44868728952.82445
-56925513732.73966 -44954623574.38513
-56885537484.79264 -45040467520.92902
-56845497254.531746 -45126260741.77379
-56805393145.00309 -45212003186.48759
-56765225259.26554 -45297694804.88876
-56724993700.38997 -45383335547.04553
-56684698571.45851 -45468925363.27572
-56644339975.56385 -45554464204.146416
-56603918015.808464 -45639952020.473694
-56563432795.30392 -45725388763.3223
-56522884417.17012 -45810774384.00534
-56482272984.53459 -45896108834.08395
-56441598600.53175 -45981392065.367004
-56400861368.30222 -46066624029.91081
-56360061390.99204 -46151804680.01875
-56319198771.75203 -46236933968.24099
-56278273613.73702 -46322011847.374146
-56237286020.10516 -46407038270.46097
-56196236094.01722 -46492013190.79002
-56155123938.63586 -46576936561.89535
-56113949657.12493 -46661808337.55612
-56072713352.64881 -46746628471.79633
-56031415128.37164 -46831396918.88446
-55990055087.45669 -46916113633.33314
-55948633333.06561 -47000778569.89879
-55907149968.357796 -47085391683.58132
-55865605096.48964 -47169952929.623764
-55823998820.61387 -47254462263.51194
-55782331243.87888 -47338919640.9741
-55740602469.42804 -47423325017.980606
-55698812600.39899 -47507678350.74356
-55656961739.92297 -47591979595.71646
-55615049991.12421 -47676228709.59385
-55573077457.11914 -47760425649.31097
-55531044241.01582 -47844570372.04338
-55488950445.91323 -47928662835.20666
-55446796174.90061 -48012702996.45596
-55404581531.05678 -48096690813.685745
-55362306617.44951 -48180626245.02935
-55319971537.13484 -48264509248.85865
-55277576393.15643 -48348339783.7837
-55235121288.54493 -48432117808.65236
-55192606326.31728 -48515843282.54991
-55150031609.4761 -48599516164.79873
-55107397241.00903 -48683136414.95787
-55064703323.88809 -48766703992.82272
-55021949961.06904 -48850218858.42462
-54979137255.49073 -48933680972.03047
-54936265310.074486 -49017090294.14237
-54893334227.723465 -49100446785.49725
-54850344111.322 -49183750407.06647
-54807295063.735016 -49267001120.055435
-54764187187.80737 -49350198885.90324
-54721020586.36324 -49433343666.28225
-54677795362.2055 -49516435423.097755
-54634511618.1151 -49599474118.48753
-54591169456.85045 -49682459714.821495
-54547768981.14681 -49765392174.7013
-54504310293.7157 -49848271460.95993
-54460793497.24422 -49931097536.66132
-54417218694.39452 -50013870365.09998
-54373585987.80317 -50096589909.80055
-54329895480.08053 -50179256134.51745
-54286147273.81019 -50261869003.23445
-54242341471.548355 -50344428480.1643
-54198478175.82326 -50426934529.7483
-54154557489.13456 -50509387116.655914
-54110579513.95277 -50591786205.78437
-54066544352.71863 -50674131762.25824
-54022452107.84258 -50756423751.42904
-53978302881.70414 -50838662138.87483
-53934096776.65132 -50920846890.3998
-53889833895.000084 -51002977972.03387
-53845514339.03375 -51085055350.032234
-53801138211.00242 -51167078990.87503
-53756705613.1224 -51249048861.26685
-53712216647.57566 -51330964928.136375
-53667671416.50925 -51412827158.63593
-53623070022.03472 -51494635520.14108
-53578412566.22761 -51576389980.25021
-53533699151.12684 -51658090506.78411
-53488929878.7342 -51739737067.78555
-53444104851.01376 -51821329631.51887
-53399224169.89136 -51902868166.46953
-53354287937.25399 -51984352641.34372
-53309296254.94934 -52065783025.067924
-53264249224.785194 -52147159286.7885
-53219146948.52891 -52228481395.87123
-53173989527.90686 -52309749321.900925
-53128777064.60394 -52390963034.68097
-53083509660.263 -52472122504.23292
-53038187416.48432 -52553227700.79605
-52992810434.825096 -52634278594.826935
-52947378816.7989 -52715275156.999016
-52901892663.875145 -52796217358.202156
-52856352077.47861 -52877105169.54224
-52810757158.98888 -52957938562.34068
-52765108009.73983 -53038717508.13406
-52719404731.01914 -53119441978.67364
-52673647424.06778 -53200111945.92492
-52627836190.07947 -53280727382.06724
-52581971130.200195 -53361288259.4933
-52536052345.52771 -53441794550.808754
-52490079937.11103 -53522246228.83174
-52444054005.94993 -53602643266.592476
-52397974652.99444 -53682985637.33277
-52351841979.14437 -53763273314.50563
-52305656085.24882 -53843506271.774765
-52259417072.10565 -53923684483.01419
-52213125040.46105 -54003807922.307755
-52166780091.009026 -54083876563.94869
-52120382324.390915 -54163890382.43919
-52073931841.194916 -54243849352.48996
-52027428741.955605 -54323753449.01972
-51980873127.15347 -54403602647.15483
-51934265097.21444 -54483396922.22878
-51887604752.509384 -54563136249.781784
-51840892193.3537 -54642820605.560295
-51794127520.0068 -54722449965.51658
-51747310832.67166 -54802024305.80825
-51700442231.49439 -54881543602.79783
-51653521816.563736 -54961007833.05225
-51606549687.91062 -55040416973.34249
-51559525945.50775 -55119771000.64302
-51512450689.269104 -55199069892.13142
-51465324019.04949 -55278313625.187874
-51418146034.64414 -55357502177.39476
-51370916835.78823 -55436635526.53616
-51323636522.15645 -55515713650.59742
-51276305193.36255 -55594736527.76467
-51228922948.95894 -55673704136.4244
-51181489888.43622 -55752616455.16298
-51134006111.22277 -55831473462.7662
-51086471716.68431 -55910275138.21881
-51038886804.123474 -55989021460.70408
-50991251472.77938 -56067712409.6033
-50943565821.82722 -56146347964.49538
-50895829950.37783 -56224928105.15632
-50848043957.47729 -56303452811.5588
-50800207942.10647 -56381922063.87168
-50752322003.18066 -56460335842.459564
-50704386239.549126 -56538694127.88234
-50656400749.994736 -56616996900.894684
-50608365633.23351 -56695244142.44563
-50560280987.91426 -56773435833.67809
-50512146912.61815 -56851571955.9284
-50463963505.85832 -56929652490.72583
-50415730866.07949 -57007677419.79215
-50367449091.657555 -57085646725.04115
-50319118280.89919 -57163560388.57817
-50270738532.04147 -57241418392.69964
-50222309943.25149 -57319220719.89261
-50173832612.62594 -57396967352.83429
-50125306638.190765 -57474658274.39159
-50076732117.90078 -57552293467.6206
-50028109149.63925 -57629872915.766205
-49979437831.217575 -57707396602.261566
-49930718260.37485 -57784864510.727646
-49881950534.777534 -57862276624.97278
-49833134752.0191 -57939632928.99216
-49784271009.61959 -58016933406.9674
-49735359405.025345 -58094178043.26607
-49686400035.608574 -58171366822.441185
-49637392998.66701 -58248499729.23078
-49588338391.42355 -58325576748.557434
-49539236311.02594 -58402597865.52777
-49490086854.54635 -58479563065.43202
-49440890118.981064 -58556472333.74354
-49391646201.25014 -58633325656.118324
-49342355198.19701 -58710123018.39458
-49293017206.588196 -58786864406.5922
-49243632323.11294 -58863549806.91233
-49194200644.38286 -58940179205.73689
-49144722266.9316 -59016752589.62811
-49095197287.21453 -59093269945.32804
-49045625801.608376 -59169731259.758095
-48996007906.4109 -59246136520.018555
-48946343697.84055 -59322485713.38815
-48896633272.036194 -59398778827.32354
-48846876725.05673 -59475015849.45886
-48797074152.880775 -59551196767.605255
-48747225651.406364 -59627321569.7504
-48697331316.45061 -59703390244.05801
-48647391243.7494 -59779402778.867424
-48597405528.95707 -59855359162.69308
-48547374267.6461 -59931259384.22405
-48497297555.30681 -60007103432.323616
-48447175487.347015 -60082891296.028725
-48397008159.09177 -60158622964.54958
-48346795665.78301 -60234298427.26914
-48296538102.57931 -60309917673.74265
-48246235564.55551 -60385480693.697174
-48195888146.70249 -60460987477.03113
-48145495943.92682 -60536438013.8138
-48095059051.0505 -60611832294.284874
-48044577562.81064 -60687170308.85398
-47994051573.859184 -60762452048.100204
-47943481178.762634 -60837677502.77162
-47892866472.00175 -60912846663.78484
-47842207547.97124 -60987959522.22451
-47791504500.97953 -61063016069.34286
